dot,total_cash_outflow
2023-11-30,5635874.358918
2023-12-31,5371308.679097
2024-01-31,5947559.3454905
2024-02-29,5685106.992643
2024-03-31,5992908.15182
2024-04-30,3382147.73966
2024-05-31,4178427.6467055
2024-06-30,4721827.4536975
2024-07-31,3367104.893406
2024-08-31,4919134.990075
2024-09-30,3704297.48108
2024-10-31,3814066.09285
2024-11-30,3977381.87097
2024-12-31,3667974.176229
2025-01-31,4010418.45114
2025-02-28,2882345.80632
2025-03-31,4027059.14521
2025-04-30,4269761.30946
2025-05-31,3786115.643898
2025-06-30,4577568.32789
2025-07-31,4145535.259584
2025-08-31,3480077.735308
2025-09-30,1786372.960375
2025-10-31,2817431.2035832
2025-11-30,121313.76105
